#  E (eV)   dos(E)     Int dos(E)
  1.078  0.3230E+00  0.4403E+00
  1.079  0.3125E+00  0.4406E+00
  1.080  0.3025E+00  0.4409E+00
  1.081  0.2931E+00  0.4412E+00
  1.082  0.2843E+00  0.4415E+00
  1.083  0.2761E+00  0.4417E+00
  1.084  0.2686E+00  0.4420E+00
  1.085  0.2617E+00  0.4423E+00
  1.086  0.2554E+00  0.4425E+00
  1.087  0.2499E+00  0.4428E+00
  1.088  0.2450E+00  0.4430E+00
  1.089  0.2408E+00  0.4433E+00
  1.090  0.2373E+00  0.4435E+00
  1.091  0.2346E+00  0.4437E+00
  1.092  0.2325E+00  0.4440E+00
  1.093  0.2311E+00  0.4442E+00
  1.094  0.2305E+00  0.4444E+00
  1.095  0.2306E+00  0.4447E+00
  1.096  0.2314E+00  0.4449E+00
  1.097  0.2329E+00  0.4451E+00
  1.098  0.2351E+00  0.4454E+00
  1.099  0.2380E+00  0.4456E+00
  1.100  0.2417E+00  0.4458E+00
  1.101  0.2459E+00  0.4461E+00
  1.102  0.2509E+00  0.4463E+00
  1.103  0.2565E+00  0.4466E+00
  1.104  0.2628E+00  0.4469E+00
  1.105  0.2697E+00  0.4471E+00
  1.106  0.2772E+00  0.4474E+00
  1.107  0.2853E+00  0.4477E+00
  1.108  0.2940E+00  0.4480E+00
  1.109  0.3033E+00  0.4483E+00
  1.110  0.3130E+00  0.4486E+00
  1.111  0.3233E+00  0.4489E+00
  1.112  0.3340E+00  0.4493E+00
  1.113  0.3452E+00  0.4496E+00
  1.114  0.3569E+00  0.4500E+00
  1.115  0.3689E+00  0.4503E+00
  1.116  0.3812E+00  0.4507E+00
  1.117  0.3939E+00  0.4511E+00
  1.118  0.4069E+00  0.4515E+00
  1.119  0.4202E+00  0.4519E+00
  1.120  0.4336E+00  0.4524E+00
  1.121  0.4473E+00  0.4528E+00
  1.122  0.4611E+00  0.4533E+00
  1.123  0.4750E+00  0.4537E+00
  1.124  0.4889E+00  0.4542E+00
  1.125  0.5029E+00  0.4547E+00
  1.126  0.5169E+00  0.4553E+00
  1.127  0.5309E+00  0.4558E+00
  1.128  0.5447E+00  0.4563E+00
  1.129  0.5585E+00  0.4569E+00
  1.130  0.5720E+00  0.4575E+00
  1.131  0.5854E+00  0.4580E+00
  1.132  0.5985E+00  0.4586E+00
  1.133  0.6114E+00  0.4593E+00
  1.134  0.6239E+00  0.4599E+00
  1.135  0.6361E+00  0.4605E+00
  1.136  0.6479E+00  0.4612E+00
  1.137  0.6593E+00  0.4618E+00
  1.138  0.6703E+00  0.4625E+00
  1.139  0.6808E+00  0.4632E+00
  1.140  0.6909E+00  0.4639E+00
  1.141  0.7004E+00  0.4646E+00
  1.142  0.7094E+00  0.4653E+00
  1.143  0.7178E+00  0.4660E+00
  1.144  0.7257E+00  0.4667E+00
  1.145  0.7330E+00  0.4674E+00
  1.146  0.7397E+00  0.4682E+00
  1.147  0.7458E+00  0.4689E+00
  1.148  0.7513E+00  0.4697E+00
  1.149  0.7561E+00  0.4704E+00
  1.150  0.7604E+00  0.4712E+00
  1.151  0.7640E+00  0.4720E+00
  1.152  0.7670E+00  0.4727E+00
  1.153  0.7694E+00  0.4735E+00
  1.154  0.7712E+00  0.4743E+00
  1.155  0.7724E+00  0.4750E+00
  1.156  0.7730E+00  0.4758E+00
  1.157  0.7731E+00  0.4766E+00
  1.158  0.7726E+00  0.4774E+00
  1.159  0.7715E+00  0.4781E+00
  1.160  0.7699E+00  0.4789E+00
  1.161  0.7678E+00  0.4797E+00
  1.162  0.7653E+00  0.4804E+00
  1.163  0.7622E+00  0.4812E+00
  1.164  0.7587E+00  0.4820E+00
  1.165  0.7548E+00  0.4827E+00
  1.166  0.7504E+00  0.4835E+00
  1.167  0.7457E+00  0.4842E+00
  1.168  0.7407E+00  0.4850E+00
  1.169  0.7353E+00  0.4857E+00
  1.170  0.7295E+00  0.4864E+00
  1.171  0.7235E+00  0.4871E+00
  1.172  0.7172E+00  0.4879E+00
  1.173  0.7107E+00  0.4886E+00
  1.174  0.7039E+00  0.4893E+00
  1.175  0.6969E+00  0.4900E+00
  1.176  0.6898E+00  0.4907E+00
  1.177  0.6824E+00  0.4913E+00
  1.178  0.6749E+00  0.4920E+00
  1.179  0.6672E+00  0.4927E+00
  1.180  0.6595E+00  0.4933E+00
  1.181  0.6516E+00  0.4940E+00
  1.182  0.6435E+00  0.4946E+00
  1.183  0.6354E+00  0.4953E+00
  1.184  0.6273E+00  0.4959E+00
  1.185  0.6190E+00  0.4965E+00
  1.186  0.6107E+00  0.4971E+00
  1.187  0.6023E+00  0.4977E+00
  1.188  0.5939E+00  0.4983E+00
  1.189  0.5854E+00  0.4989E+00
  1.190  0.5768E+00  0.4995E+00
  1.191  0.5683E+00  0.5001E+00
  1.192  0.5597E+00  0.5006E+00
  1.193  0.5510E+00  0.5012E+00
  1.194  0.5424E+00  0.5017E+00
  1.195  0.5337E+00  0.5022E+00
  1.196  0.5249E+00  0.5028E+00
  1.197  0.5162E+00  0.5033E+00
  1.198  0.5074E+00  0.5038E+00
  1.199  0.4986E+00  0.5043E+00
  1.200  0.4898E+00  0.5048E+00
  1.201  0.4810E+00  0.5053E+00
  1.202  0.4722E+00  0.5057E+00
  1.203  0.4633E+00  0.5062E+00
  1.204  0.4545E+00  0.5067E+00
  1.205  0.4457E+00  0.5071E+00
  1.206  0.4369E+00  0.5075E+00
  1.207  0.4280E+00  0.5080E+00
  1.208  0.4193E+00  0.5084E+00
  1.209  0.4105E+00  0.5088E+00
  1.210  0.4018E+00  0.5092E+00
  1.211  0.3932E+00  0.5096E+00
  1.212  0.3846E+00  0.5100E+00
  1.213  0.3760E+00  0.5103E+00
  1.214  0.3676E+00  0.5107E+00
  1.215  0.3593E+00  0.5111E+00
  1.216  0.3511E+00  0.5114E+00
  1.217  0.3430E+00  0.5118E+00
  1.218  0.3350E+00  0.5121E+00
  1.219  0.3272E+00  0.5124E+00
  1.220  0.3196E+00  0.5128E+00
  1.221  0.3122E+00  0.5131E+00
  1.222  0.3050E+00  0.5134E+00
  1.223  0.2980E+00  0.5137E+00
  1.224  0.2913E+00  0.5140E+00
