#  E (eV)   dos(E)     Int dos(E)
  1.474  0.2007E-05  0.1111E+01
  1.484  0.1035E-04  0.1111E+01
  1.494  0.4735E-04  0.1111E+01
  1.504  0.1921E-03  0.1111E+01
  1.514  0.6911E-03  0.1111E+01
  1.524  0.2205E-02  0.1111E+01
  1.534  0.6240E-02  0.1111E+01
  1.544  0.1566E-01  0.1111E+01
  1.554  0.3486E-01  0.1112E+01
  1.564  0.6882E-01  0.1112E+01
  1.574  0.1205E+00  0.1114E+01
  1.584  0.1872E+00  0.1115E+01
  1.594  0.2582E+00  0.1118E+01
  1.604  0.3165E+00  0.1121E+01
  1.614  0.3461E+00  0.1125E+01
  1.624  0.3411E+00  0.1128E+01
  1.634  0.3100E+00  0.1131E+01
  1.644  0.2733E+00  0.1134E+01
  1.654  0.2528E+00  0.1136E+01
  1.664  0.2604E+00  0.1139E+01
  1.674  0.2918E+00  0.1142E+01
  1.684  0.3288E+00  0.1145E+01
  1.694  0.3493E+00  0.1149E+01
  1.704  0.3393E+00  0.1152E+01
  1.714  0.3003E+00  0.1155E+01
  1.724  0.2483E+00  0.1158E+01
  1.734  0.2060E+00  0.1160E+01
  1.744  0.1917E+00  0.1162E+01
  1.754  0.2114E+00  0.1164E+01
  1.764  0.2566E+00  0.1166E+01
  1.774  0.3071E+00  0.1169E+01
  1.784  0.3395E+00  0.1173E+01
  1.794  0.3378E+00  0.1176E+01
  1.804  0.2995E+00  0.1179E+01
  1.814  0.2359E+00  0.1181E+01
  1.824  0.1648E+00  0.1183E+01
  1.834  0.1022E+00  0.1184E+01
  1.844  0.5618E-01  0.1185E+01
  1.854  0.2740E-01  0.1185E+01
  1.864  0.1185E-01  0.1185E+01
  1.874  0.4545E-02  0.1185E+01
  1.884  0.1546E-02  0.1185E+01
  1.894  0.4664E-03  0.1185E+01
  1.904  0.1248E-03  0.1185E+01
  1.914  0.2961E-04  0.1185E+01
  1.924  0.6232E-05  0.1185E+01
  1.934  0.1163E-05  0.1185E+01
  1.944  0.1926E-06  0.1185E+01
  1.954  0.2827E-07  0.1185E+01
  1.964  0.3681E-08  0.1185E+01
  1.974  0.4253E-09  0.1185E+01
  1.984  0.4642E-10  0.1185E+01
  1.994  0.3626E-10  0.1185E+01
  2.004  0.3207E-09  0.1185E+01
  2.014  0.2817E-08  0.1185E+01
  2.024  0.2197E-07  0.1185E+01
  2.034  0.1519E-06  0.1185E+01
  2.044  0.9319E-06  0.1185E+01
  2.054  0.5069E-05  0.1185E+01
  2.064  0.2446E-04  0.1185E+01
  2.074  0.1047E-03  0.1185E+01
  2.084  0.3971E-03  0.1185E+01
  2.094  0.1337E-02  0.1185E+01
  2.104  0.3990E-02  0.1185E+01
  2.114  0.1056E-01  0.1185E+01
  2.124  0.2480E-01  0.1186E+01
  2.134  0.5163E-01  0.1186E+01
  2.144  0.9534E-01  0.1187E+01
  2.154  0.1561E+00  0.1189E+01
  2.164  0.2268E+00  0.1191E+01
